aafkagh	to burst
reghighqe	to open wide; to break down (wall or the like) to make an opening
reghigh	to open partially; to pry up or open partially; to wake up
regla/regle-	to be nosy; to be curious; to be inquisitive
regra / regre-	to be nosy; to be curious; to be inquisitive
rekelta	long strap which is used to tighten roof of the traditional domeshaped house, the mangteghapik (q.v.)
repaqu	to hammer repeatedly
repa	to hit with a hammer; to hammer
reqiiwmete	to be bent; to be distorted
retwhaqu	to repeatedly bombard
retwha	to bombard with artillery
riiggni	to make a den (of an animal)
riigsi	to make a den (of an animal)
riirngi	to watch stealthily; to observe; to spy on
riirvak	one who has grown, started to reason and learned a lot; mature person
riistuniqe	to be frugal; to be overly parsimonious; to be stingy; to be very sly or sneaky
riistu	to be sly; to be stingy
rinimiwi	to be a hoarder
rinmiwi	to beg
ruughangi	to not hesitate to do or say something; to be outspoken 
Ruuseghmiik	river that flows into Tomname Lagoon on St. Lawrence Is.
saafqughwaagh	to run one’s or fingers hand over (it); to feel around
saafte	to touch; to feel
saagaghte	to suddenly unroll or otherwise spread out
saaghaghte	to suddenly happen
saaghw	area or space right next to something
saagmete	to be level, smooth, flat
saagragh	to uncoil; to smooth out; to spread out
saagsaate	to break its harness (of a dog)
saag	to get scattered; to get into disarray; to get spread out; to uncoil
saalghaghta	unexpected storm coming from any direction
saallgaghte	to scrape off accidently 
saallghaghte	for wind to change course suddenly get strong; for a storm to arise
saama	also; too; furthermore; moreover
saamna	that one down there; that one to the south or southwest 
saanighte	to age (of food)
saanqaghqe	to be face to face; to face
saape1	to cover
saape2	to drive (herd of reindeer) to a new place
saapghangite	to not be detered by cold (or other adverse conditions)
saapkute	to escape taking some of the hunting gear (of a sea mammal)
saaqghaghte	to accidentally or suddenly chip
saaqw	area or space next to or right by (it)
saaqwin	walrusskin cover of  summer tent from top to bottom
saaqwliq	something next to another; neighbor
saarma	to depend on something
saasaqe1	to try to attract attention; to seek a favor
saasaqe2	to put in an exposed place; to lay out
saasqagh	for wind to be coming straight in from the ocean; to be turned facing something
saasqaghmeraagh	to stay around whether appreciated or not
saasqaq	wind toward land from ocean
saatghwaagh	to wear a fur-side-in parka without a cloth cover
saavgumiigh	to prepare, get equipment ready, to harpoon the whale
saayguraaq	modern storm shed; entry porch
saaygu	tunnel entrance to semisubterranean house
safkaagh	to cover; to block (view)
safkeghyuug	to be in a bad mood; to feel frustated; to be angry
safkutaq	cover; windscreen or other shelter from wind; barrier to view; coverup of facts
safleg	to handle and examine permission; to "paw"; to rummage through (it)
saflengaq	one who likes to handle everything without permission
sagelmak	ruddy turnstone (Arenaria interpres)
saghefte	to anger
sagheme	to be very envious
sagheve	to crumble; to topple; to collapse
saghiigha	astonished; amazed
saghiighqe	to be enthusiastic; to act intensely
saghnasta	collector
saghna	to gather; to pick up (many thing); to collect
saghyughte	to get lots
sagiqe	to persist; to persevere; to insist; to urge on
sagniin, sagniita	twine sewn in along stitches of sole of skinboot to keep the thread from cutting into the skin
saguyaaghte	to turn when traveling; to take a side trip
saguyaghtaagh	to prepare a skin drum for use (as by moistening its skin)
sakegh	to cut in one stroke; to slash
sakemna	that one down there; that one to the west; that one in the outer room; that one toward Gambell from Savoonga; that one towards east (additional meaning in Chukotka)
sakenge	to catch fish or game; to get something; to buy something
sakeqe	to break in two (of rope, string, thread, wire, tape, etc.)
sakete	to make thinner
sakighte	to line up side by side
sakimak	chest (anatomical)
sakniqe	to exert oneself; to be forceful; to yearn for something; to be forceful; to be anxious
sakraa	to be frustrated; to be irritated; to be in a bad mood
sakrite	to be frustrated; to get irritated
sakusiiqe	to use in a careless and wasteful manner; to abuse; to mistreat; to oudo in sports
sakwaaqe	to treat as junk; to be careless with; to handle roughly; to look down on (a person); to outdo in an athletic contest
salagu	to club; to clobber; to hit with something thrown
salghutaq	pantry; storage place
sallagte	to clean in a rough, partial or preliminary way (e.g. a skin)
sallaqi	to have a comfortable life; to relax; to take it easy; to have time and opportunity to socialize
salleghte	to leave (after difficulty); to move forward
sallegpak	consolidated slush ice or new ice thin not quite thick enough to be safely walked on, can be broken up by the passage of a boat
sallegte	to scrape (especially fat from a skin)
sallek1	slush ice becoming consolidated; new ice not thick enough to walk on forming on calm water
sallgaaq	slush ice area just beginning to consolidate, after the qenu stage
sallghite	to be unbleminshed; to not have done anything
sallghwaaghhiite	to be in perfect condition
salligte	to scrape (especially fat from a skin)
salliigh	to travel through slush ice by boat
sallmag 	to patch a boot sole
sallmeg	to scrape one's skin accidently; to scrape the paint off something
sallughmete	to be cross-eyed; to be wall-eyed
salngak	box; suitcase; motor well in boat; coffin
salug	to be in desperate need of water to drink; to be dying of thirst
samataq	forehead ornament of iron given by shaman to patient as a remedy
sameghqe	to die without a trace due to an accident; to have a fatal accident away from a settlement
samillagh	to unsuccessfully do something (especially in hunting)
samitagh	to sneak up on
samleghagh	to be active
samlleghqe	to scratch; to abrade
sanaghte	to process a skin; to cure a skin; to tan a skin
sanamaqute	to prepare something; to get something ready
sanariigh	to procrastinate
sanghiighi	to recover; to perk up
sangighqugh	to wash dishes, hard surfaces, etc.; to wipe clean
sangigte	to wipe; to clean off (spilled liquid)
sangiighi	to recover from illness, mishap, etc.
sangiite	to be deprived (of); to not have any more of
sangunanigh	to be unconscious because of severe pain or a wound; to become delirious; to be totally exhausted; to be limp
sangyagh	to be hard to move or pull; to be slow at learning
sangyite	to not slide easily; to slow down due to rough ground or other adverse conditions
sanighhuwaagh	to roll about
sanightaaq	woman's fancy gutskin parka with dangling decorations sewn on in horizontal rows from the hood down to the hem
sanighyaq	barrier; crosspiece; obstruction; interruption to one's thoughts; mental obstruction; bar such as one put across a door to prevent entry; bar across  back of sled
sanighyigh	to bar entry; to interrupt one’s thoughts
saniite	to impede activity making it difficult or impossible; to not be conducive to acting
saniligh	to build addition or add onto side of building
sanitmiighte	to go sideways or to the side
sanivlegagh	to suddenly turn or skid sideways or to the side when moving
sanqun	equipment; tool; device; weapon; useful item
sanqutraaq	makeshift tool; crude device
santiyagh	to go to Sunday church service
sapaaslug	to enslave; to mistreat
sapayughhiite	to be alert; to be okay (of a person)
sapayungigh	to recover from illness; to regain consciousness; to perk up
sapeghhnagh	for weather to be very cold
sapegi	to lose game animal by its escaping
sapiiqe	to negatively experience extreme cold; to be overcome by extreme cold
sapughagh	to drive (a herd of reindeer) to a new place; to drive animal(s) in the desired direction by blocking other paths; to cover (it, them) repeatedly or continuously
saqaaghhiite	to be clearly visible
saqaaghiighute	to have one’s vision improve
saqeghqe, saqighqe-	to break to bits; to chip off in bits
saqeghte, saqighte-	to chip off a piece
saqeme	to crumble to pieces
saqfigh	toes turned out
saqfitu	to be splayfooted
saqighaghte	to accidentally or suddenly chip
saqipeg	to sweep; to rake; to scrape
saqralqaq	ice which, although still solid enough for walking, is such that footprints left on it fill with water; sea ice with watersaturated surface, hard to walk, sled or work on
saqrugaghte	to chip (of glass or the like)
saqumig	to hold in the crook of the arm with the arm held out and up; to hug; to embrace
saqumiite	to give one something of a size that could be carried in the crook of the arm
saquste	to glide to the side (of a bird)
sariigh	to hold competive event; to have entertainment; to celebrate
sarma	to brag
sasii	to be a practice (something one does habitually or from time to time); to be a device
sasiq	habit; device; practice; tool
sasiqumtaaq	predictable even; custom; customary practice
saste	to make one act or feel a certain way (generally, with a negative implication)
sategte	to clean the hairless side of an animal pelt; to clean the inside of a skin tent; to eat fish by stripping the meat off the skin; to clean summer-type hair-in sealskin boots
sateme	to comes loose from what it is fastened to (of a rope)
sa	to do what?; to do something
savegsite	to aim harpoon
saveg	to harpoon
savigh	for there to be whitecaps on the ocean and a strong current
savighhe	to whittle; to carve; to make red-hot
savigsigh	to sharpen; to get knife ready
savigsi	to get a knife ready for use
savigtaagh	to point knife at something or someone preparatory to attacking with it
savigtigh	to direct a knife preparatory to attacking with it
saviigh	to forge (metal); to make red hot
savik2	place, time or opportunity to do something
sayughqaagh	to become hard, strong and durable (of skin)
sayugh	to dance a set non-improvised Eskimo dance
sayugpagtagh	to pull with repeated jerks; to have a tremor; to have a tic; to twitch
sayugtaagh	to tug
sayug	to pull; to tug
sayuugte	to shrink or warp from drying; to feel tense; to be in a tall column (of clouds)
sefkaghte	to accidentally burst (as an overstuffed meat poke)
sefkagh	to accidentally cut or tear through (as to the edge when making a hole near the edge of a skin)
seflugpak	horn (as of a car); factory whistle
sefluqaghte	to pierce through
segefkagh	to make holes in something
segeghte	to become dry and brittle (of wood)
segeghte	to dry excessively and become brittle (of wood)
segeni	to decorate with reindeer or caribou chin hairs sewn on the  surface of a hide in a garment; to embroider with reindeer or caribou chin hairs
segeve	to wear through or almost through
segge	to cut open; to slash; to split open
seggute	to slam crash or plunge into something
segheve	to calm down; to diminish in intensity (of emotion)
seghevute	to forgive
seghhaagh	to hiss (of liquid on hot surface)
seghhaghute	to sizzle
seghhe	to sweat profusely; to gather condensation (on it); for dew to freeze (in fall time)
seghleghni	to feel bad (for a long time) about a situation
seghleghqe	to err; to make a mistake; to sin; to be in a very unfortunate situation
seghleghu	to be bad
seghleghyug	to feel bad (for a short time); to have hurt feelings
seghleliigh	to have a hard time; to grieve; to experience depression
seghleqe	to criticize; to dislike
seketeste	to set in (of fog)
sekete	to dunk or bury one's head in something; to bend way over forward (people, birds); to dip into something; to lower the head
sengelqagh	to hop on one leg
senglepegragh	to limp around
senglepegte	to limp
sengngugh	for overflow water to collect on lake or river ice 
seqemengeltagh	to exude liquid, especially blood, in bead-like form
seve	to cut or tear through cloth, skin, flesh, etc., especially starting from a hole
sevraquma	to be toothed (have sharp projections)
sevri	“threetoothed” bone in a fish head that can be fatal if swallowed
siftagh	to flatten; to plant one’s feet firmly on the floor; to crush
siftugh	to bury deeply
siftughughte	to be in a kneeling position (of dogs, wolves)
sighimake	to hope for
sighima	to hope; to have faith; to look forward to something
sighla	to act with strong emotion; to go fast; to get plenty of something; to act with intensity
sighute	to get buried or covered over by action of waves and sand
sigiin	new ice in previously open lead in ice field; refrozen lead, good to walk on
sigiqe	to break or shatter glass, eggshell, ceramic, etc.
sigugneq	ice on or near shore formed from slush brought to the shore by waves, piled up and possibly refreezing when the water recedes
sigutkegsi	to keep alert for important news
sigutkegsi	to stay alert for news; to “keep one’s ears open”
sigutkesi	to listen for something
sigutlug	to have an ear infection or earache
sigutqugh	to whisper into one's ear
siifte	to set a net, snare, or trap
siiggaghaghte	to degrade vision through condensation; to suddenly fog up
siigh	for weather to clear up; for fog, blizzard, or smoke to clear up, dissipate or pass
Siighmiik	creek flowing from the southeast side of the mountain behind Gambell to the south end of Troutman Lake
siighnaq	walrus stomach
siighni1	to prepare a walrus stomach for use as a bag
siighni2	to skip a stone across the surface of the water
siigte	to have diarrhea
siikaq	dried walrus stomach to be used as a drumskin
siiknegh	to be determined; to be persistent
siinge	to push; to shove
siingleghagh	to push continuously; to plane wood
siinguraq	ice floes floating close together in striplike formation near the land, may extend far, dangerous to walk on
siingvallaagh	to speak in anger or hatred
siingvallagha	to speak in an aggressive manner
siinqigute	to rinse
siinu	pantry; storeroom on either or both sides of the the insulated inner room of the traditional domeshaped house, the mangteghapik (q.v.)
siipgaghte	to accidentally strip something off
siipneq	excess; leftover
siipngaan	in abundance; enough to meet the need
siipngagh	to be in excess beyond …
siipniyug	to feel that something is sufficient; to feel superfluous
siipte	to have something left over; to have an excess
Siiqivak	projection of land into lagoon from barrier isthmus near west end of Koozata Lagoon on St. Lawrence Is.
siirgusiigh	to scramble eggs
sii 	to put drumskin on a drum; for a sheet of thin ice to form on the water
siklaate	to fall over or fall down (of a person, usually by tripping or slipping)
siklagh	to use a pick; to break through; to strike with tusks
sikmuute	to lunge forward; to fall forward; to die (slang)
sikuliiq	new thin sheet of sea ice just moved in to land; water that froze on top of ice making the ice thicker
sikupik	sheet of sea ice thick enough to walk on; regular ice
siku	to get covered with ice; to freeze over
silimuqa	to poison
silunge	to become fully fledged (of bird)
simigh	to change; to exchange; to replace
singagh	to kiss
singaghugh	to repeatedly kiss
singigh	to tie one's laces
singigrakegte	to have a sharp point
singig	to come to a point; be pointed
singikrak	summit of mountain; top of tree, mountain, etc.; tip
singilpayug	to tuck the laces of one’s boots in the top of the boots (due to being in a hurry)
singlepegte	to limp
sipegte	to strip the leaves from a stem; to remove liquid from an object (garment, skin, rope, etc.) by running it through the space between one's thumb and forefinger held together at the tips
sipetughii	to have a lot left over; to finish or arrive with time to spare
siqaghaghte	to accidently cut or scrape one’s hand or arm or the like
siqagh	to remove the frilly sides of a certain kind of kelp
siqallghaq	rag used to wipe spills
siqfallag	to splash
siqineghllugu	for it to be sunny
siqinghuugh	to get sunny
siqinitagha	to squint from the brightness of the sun
siqite	to splash (it) out
siqi	to splash on (him/it)
siqlugaghqu	to take out meat from an underground cellar
siqlugiigh	to take out special meat from the cellar  for a feast
siqlugiiqaq	special meat stored in the cellar for a feast
siqni	to covet something; to be envious
siqsimi	to refrain from doing something in hopes or with the expectation that another will do it; to leave a task for someone else
sisaawiketagh	to be quick-witted; to be perceptive
sisaawike	to figure (it) out; to sense (it); to surmise concerning (it)
sisaawisaghagh	to give hints
sisaawi	to sense; to surmise; to understand
sitegh	to patch a skin boat
sivillagte	to splash (it)
sivughaq	edible plant stored in oil for winter
Sivughqa	site east of Cape Stoletiia in Chukotka
sivugh	to wring out
sivuke	to do, be or occur first
sivulii	to be the first one
Sivulin	projection of land into lagoon from barrier isthmus toward east end of Koozata Lagoon on St. Lawrence Is.
sivullaghqugh	to lead; to be the leader
sivullagh	to go ahead of time
sivullgaagh	to go ahead of others
sivullgaagh	to start out before the others
sivullgaghtagh	to interrupt others talking
sivuneq	ancestor; predecessor; previous times
sivungigh	to get ahead of
sivungiite	to get to (it) ahead of others
sivuughagh	to feel overwhelmed; to feel hesitant; to be apprehensive; to feel defeated
suflitagh	lying on stomach
suflitaghtagh	to lie around on one’s stomach
suflugagh	to shoot (a gun)
suflugaghwaaq	pistol
suflugpak	horn (as of a car); factory whistle
sufluk	chimney; stovepipe
suflungumalghii	cavity in tooth
sufluqaghte	to pierce through
sugag	to feel offended
sugake	to feel offended on account of (it) or for (him)
sughma	to play chess or checkers
sughmetku	to fix rough spots on a reindeer skin after tanning it
sughug	to attack (of animals or people); to chase; to charge
sugighpagtagh	to develop red blotches due to emotion (of face)
sugllekegte	to slightly hit, touch or scratch; to graze (of thrown thing)
sugri	to get discolored (red or blue) around the mouth due to cold
sugrugmighqu	to poke in the snout
sugugte	to go ashore; to stop ashore when traveling by boat
sugukelengiiq1	mosquito
sugukelengiiq2	temporary tent made from oars covered with skins, used by boat travelers when caught in a storm
sugupak	nostril area of animal (especially sea mammal); upper lip area extending to the nostrils
sugute	to put boat up on land or ice for a little while traveling 
sukaghi	to become fast
sukallaagh	to tell one to hurry
sukanghagh	to race; to speed along; to rush
sukangiite	to slow down
sukangite	to be slow
sukate	to go or be fast
sukeraragkiigh	to go extremely fast
sukera	to hurry; to be going very fast
sukite	to get a splinter in one's flesh
suksugtaq	primus or similar pressure stove
sulaawi	to be fatigued from lack of rest or from strenuous work; to get tired
sulleve	to tear further; to unravel; to come undone at seam
sullevniqe	to be mischievous; to be destructive
sulughhaghte	to whip
sulugtagh	for wind to howl (especially blowing through cracks)
sumeghiighte	to worry
sumeghmike	to think about; to have (it) on one's mind
sumeghmiqe	to cause (him) to worry
sumeghniqe	to think about something; to try to figure something out
sumeghtaghagh	to think
sumeghte	to worry; to be concerned; to plan to do something about the object of one's worry; to try to decide
sumeghyali	to have a lot on one's mind; to worry
sumlleghaghte	to split (especially along a seam)
sungaghaghqwaa	to blush
sungaghate	to be rosy-cheeked
sungaghteqe	to redden from embaressment, rage, or exertion
sungaghyug	to be bluish or greenish in color
sungaghyukegte	to be bright blue or green
sungamteqe	to redden from embaressment, rage, or exertion
sungghanagh	to be full of energy; to be excited and ready to act
sungghanagh	to do things fast; to be frenetic
sunggharuug	to become very active
sungite	to feel bitter (including both emotionally and physically as when one tastes something bitter)
sunglug	to fold or bend in as in forming an indentation; to cave in
supeg	to shoot repeatedly
supelghagh	to partially dry in the breeze; air out
supughaate	to blow away a hurt
supughragh	to blow repeatedly
supugh	to blow repeatedly or constantly
supug	to be drafty
suqaghnalke	to run over with a sled
suqi	to remove the baleen from a whale
suqlak	Alpine bistort (Polygonum viviparum) ; pink plumes (Polygonum bistorta)
suqlamengestaq	pink plumes or bistort (Polygonum bistorta)
suqlawaaq	common bistort (Polygonum viviparum L.) 
suqlugh	crumpled; folded in to narow an opening; bent
suughite	to be clear; to be weak (of tea)
suughneghiite	to turn pale
suughpagte	to suddenly become dark or murky (especially of liquid); to change color; to became spotted or stained
suughte	to darken or become murky; to become off-white in color; to get strong (of tea or coffee)
suugh	to be murky; to be muddy (of water); to be strong (of tea or coffee); to be off-white in color
suughuute	to stir up sediment in a liquid
suuglliqe	to get frustrated and show ones anger
suugllug	to be irritable; to be in a bad mood; to get angry easily
suuk	small strap of baleen fastened to harpoon
suuma	tobacco of a type brought to Chukotka from Alaska
suume	to be rabid; to be drunk; to go berserk; to be in a trance (shaman); to act wild
suumqi	to remember; to be considerate; to keep in mind
suupeqe	to soap up; to lather up
suupe	to blow
suupgaghte	to change direction suddenly when fleeing; to change one’s mind
suupute	to exhale blood when caught (of sea mammal)
suuygute	to splash on the water with something to try induce game to come to the surface
suvaaghwagh	to continue (excessively) in the same mood
suvate	to gossip; to spread news
suvinagh	to be prickly, rough, or coarse to the touch
suyaghnanigh	to run out of energy for moving on
suyaqnanigh	to lose the desire to do something on account of fatigue
suyiigh	to be barely moving on account of a rough surface, tiredness, etc.
suyvaghte	to get much or many; to get more than enough
taaghqe	to get injured on the head
taaghta	medical doctor
taake	to be long (in space or time)
taane	to scrub
taape	to seep through
taapngig	to easily soak up liquid; absorbent
taapute	to seep through
taaqe	to finish; to quit
taaqiinagh	to do in abundance; to do enough
taaqriite	to be brightly or dark colored and stand out from background
taaqurragkiigh	to complete tasks right away
taatget	intersection of poles at top of the traditional domeshaped house, the mangteghapik (q.v.)
taatkaghte	to hit on the nose
taatqaghte	to kill by striking with an object
taayughqe	to hurry; to be in hurry
tafsi	belt; belt around bottom of walrus skin roof of the traditional domeshaped house, the mangteghapik (q.v.)
tafsikwagh	to use a makeshift belt
tafsimik	something kept on the belt such as a knife, tobacco pouch, or amulet
tafsi	to put on a belt
taghneghaghqugh	to see one's reflection
taghnughhin	tent of canvas fitted on sled to protect children (and mother) when traveling
taghnughhiqe	to babysit
taghpagh	to open; to enlarge
taghsagh	to awaken (him)
taghtugh	to wake up
taghyughii	to swell after contact with salt water (of a cut)
taghyughnite	to be salty
tagimun	toward here; coming this way; coming home
tagite1	to give (to speaker)(not in the sense of transferring ownership)
tagite2	to bring (to speaker)
tagitiqwaa	to be lost in the fog
tagi	to come (to speaker)
tagivagh	to give (to speaker)(not in the sense of transferring ownership); to hand (to speaker)
tagiyagh	for there to be a gust of wind
taglaate	to bring (it) up the slope; to bring to the mountain for burial
taglaghta	wind blowing to the shore
taglagh	to go up from sea to shore or up the shore; to go to Chukotka from St. Lawrence Is.; for wind to blow from the southwest; to move inland
taglugute	to pull up; to drag up
tagneghli	soft black stone from Chukotka used to darken sinew so that stitches will blend with dark skin or fabric; graphite
tagneghsaasiq 	darkening implement or substance such as used in tattooing
tagnegh	to be black
tagneghute	to become partially visible through the darkness 
tagneghziigute	to be barely visible in the dim light
tagneqegte	to be completely black
tagsighaq	rawhide rope cut lengthwise into thinner rope to be used in stretching animal hides to dry
tagsighsaqe	to not come when called; to wait to be implored to come
tagsigh	to beckon; to call to come
tagsiqligh	to invite (him) over for a definite purpose
tagugha	for surf to come in over a low part of the beach
tagyuqa	to slowly come toward the shore (of a boat)
takagh1	to be crosswise; to be caught in an opening so that it cannot fit through
takaghqughvike	to cover by putting boards or the like crosswise over (it)
takaghte	to lean (it) against something
takaghyaq	crosspiece supporting bed of sled  or keeping door securely closed; toggle; button; latch for door consisting of small piece of wood pivoting on a nail; barrier or obstacle that keeps one from acting as desired
takellengugh	to lose patience
takelliighagh	to shorten; to become shorter
takelli	to shorten; to make shorter
takestaaghhaa	to be short
taketuyiig	to be lengthy
taki	act of making the rounds to check on traps or nets
takii	to approach game (while hunting)
taklaghrukegte	to be straight
takumrraaqe	to leave (it, an important or valuable thing) out
takumsug	to go somewhere for pleasure or entertainment
takumsunaq	thing that has been made attractive to behold
taku	to go to a specific place for a definite reason
takuughagh	to go from place to place
takuyangllagh	to tap on another's shoulders to get attention
takwiista	inspector; investigator
talaghitagh	to jump up from the surface of the water (of a fish)
taliighpaguute	to come momentarily into view
talitaghwaagh	to keep out of sight
talite	to go out of sight behind something
tallaagh	to split sinew for thread
talligh	to dance Inupiaq style, seated,with arm motions only
tallu	to split sinew for thread
talughaghtagh	to move repeatedly in and out of sight
talugh	to move out of sight
taluutaq	screen to keep one out of view
tamaa	to chew
tamekestaq	something that is not supposed to be swallowed, but just chewed
tamlag	to land (of a boat); to beach a boat
tamlughun	chin tatoo
tangeghsaghtugh	to go to a relative’s grave after five days of mourning
tangeghtughte	to harden
tangeghtu	to be solid; to be hard; to be tough
tangeq2	ancestor
tangeqeghrengetaq	long oar or mast tied at the bow of a boat to help keep the boat from tilting to one side when it is being walked over rough ice
tangigh	to eat (greens) along with one’s other food
tanighaate	to be an exception
tanigh	to cut piece off of (it)
tanightugh	to cut off pieces
taniilqe	to treat unequally; to leave out
tanpigh	to put on, or get put on, dried walrus hide
tanughqe	to scrub thoroughly
tapeghaataq	painter (rope attached to the bow of the boat)
taperghugh	to seep slowly and continuously
tapghaghaghtagh	to lasso reindeer
tapghi	to make rope
tapi	to sew a patch onto the sole of a boot to keep water out
taplaa	to start being away from parents (animals or humans); to wander; to walk around on one’s own (of a baby or child)
tapnaghte	to reinforce a worn out part of a rope with another rope
tapughtugh	to continue to seep through
tapusigh	to add another rope as a reinforcement
taqayuqe	to reach the limits of one's physical abilities due to overwork
taqefkagh	to finish quickly
taqelghagh	to complete the work on (it)
taqellengugh1	to be patient and persevering
taqellengugh2	to tire of being asked and finally agree or give in; to reach point where one can no longer refuse; to tire of gossip and to start to defend oneself
taqmiigh	to finish; to complete
taqughte	to braid one's hair
taqugh	to finish one by one
taqughun	woman's cheek tatoo
taqustaqaa	to suffocate; to choke
tareqi	to remove blubber from walrus hide
tarughite	to go behind something and out of sight; to disappear from view behind something
tasighun	rope threaded through holes around the bottom edge of the skin cover of the traditional domeshaped house, the mangteghapik (q.v.), andweighted with rocks
tasigu	to club (with a stick)
tasikligh	to tie rope onto someone or something
taslugh	to hold hands with
tasugte	to cut a seal from the flipper opening to the front slit when skinning prepratory to stretching and drying the skin
tatame	to be scared; to get terrified
tateghte	to brake; to come up against; to be stuck on something
tategun	jib (small sail put in front of the mast of the boat to help travel in low winds)
tatesaghte	to hit on the nose
tatmeghruk	area between shoulder blades; spine from neck to waist
tavaghte	to group together by tying (them) together; to tie together in a group
tawaqapik	leaf tobacco
tawaqa	tobacco
tawarungi	to depend on for security and support
tawatete	to be that way; to be like that
tawaviigh	to get very close to
tawli	towel
tayeghqagh	to roll up one's sleeves
tazimante	to be gone; to not come back; to not show up again
teflilgu	to have crud around one's mouth
tefliliighqe	to get crud around one's mouth
teflingigh	to wipe one's mouth
teflingiisiq	towel, napkin, etc., used to wipe one's mouth
teflitu	to have a lot of crud around one's mouth
tefsaghug	for wind to be blowing over and down a hill or mountain
tefte	to lean over; to drape over
teggaaghqe	to stiffen from being frozen
teggellghiigh	to be afraid, hiding one's fear from others; to feel scared inside
teggi	to stiffen; to harden
teggmag	to be stiff
teggughte	to compress into a hard ball
teghhute	to have sexual intercourse
teghhwaaghigh	to laugh hard with delight
teghightugh	to stalk; to pursue
teghigniigh	to hunt
teghigniqe	to have fun; to enjoy something
teghigsigh	to sing a song to attract game (of a shaman)
teghiigh	to pursue (of dogs pursuing an animal)
teghingyug	to suddenly start to enjoy oneself
teghlug1	to land from the sea onto the beach
teghlug2	to escape under ice (of a struck sea mammal)
teghlugte	to roll one's eyes upwards
teghqig	to wipe anal area
teghqiisghaq	toilet paper; gun wad
teghrughte	to double or shorten a rope by looping it over something, threading the end through the loop and tightening it; to tie loosely
teghsagh	to awaken (him); to wake (him) up
teghtugh	to wake up
tegleg	to steal
tegtaan	working together
tegyuughiite	to not be hesitant to express one’s thoughts; to be outspoken; to be daring
tekaghreketiigh	to continuously flow from small opening in the lower part of container
tekagh	to have an erection
tekeghaq	projection of land into water; point of land
tekeghin	promonitory jutting out from an ice field
tekeghmigun	knob on shaft of ivory on small harpoon or spear to which line from harpoon/spear head is attached
tekeghregagh	to poke around with the index finger
tekghaghte	to be swept backwards due to the speed at which something is moving
tekiqe	to find (it, garment) to be too small
tekite, tekiite-	to land (of something thrown, not of birds or planes); to hit
telaananga	to sail
telenwinanga	saw (cutting tool)
temae	torso; body; close relative; basic part of object
temeghnagh	to try to cure illness through ritual
temeghte	to cut into the flesh when skinning a carcass
temitenge	to sympathize with a loved one who is ill or in trouble
temli	to sleepwalk; to talk in sleep
temngingu	to be nonsense; to be foolish
temngitwha	to act wastefully; to spread lies; to waste time
temsiyaaghagh	to smile faintly wanting to laugh but suppressing it
tengaa	to fly around
Tengagergen	god figure in Chukotkan stories
tengengaaghaq	young bird ready to fly
tenge	to take off in flight; to fly (off)
tengghuniqe	to have fun
tengilghaaghqe	to make dust or debris fly around; to cause many birds to fly off
tenglepegragh	to tap
tenglug	to punch with one's fist
tenglugtugh	to knock on the door
tengug	to box; to fight with fists
tenguqe	to strain (as when defecating or giving birth)
tenmaawi	to become accustomed to something
tenpe	to hit hard (not with the hand or fist); to crash into
tepe	to drift ashore; to wash ashore
teptaaqe	to tie something with a string and a stick on which to wrap the end of the string back and forth to hold it in place
teq	anus; bottom
teqlighaq	the very last and lowest one; the very bottom
teregh	to mark with a line; to make a line on something
tereq	mark; line; tatoo
terghii	to touch slightly when shooting or throwing at something rather than gettting an exact hit; to graze
terugista	illustrator
terugi	to draw
tetagh	to mark at an exact point for cutting
teteghaq	marker (sharpened piece of ivory used to mark wood for cutting)
tetug	to be reluctant to ask; to hesitate to ask; to be bashful
tevegh	to be stiff (of arm, leg, etc.)
Tevelqum Naayghaa	mountain slightly to the east of Myghapowit Mtn. on St. Lawrence Is.
teve	to go over a hill; to overflow
tevigh	to set (of sun or moon)
teviitaq	youth who starts to “go over” the stretched gymnastic rope in competitions and is celebrated for this
Tevnga	portage route from Kange Camp (Kangii) across neck of land to south side of St. Lawrence Is.
tevragh	to hunt seals on ice
tevugha	to overflow
tiigghun	rope that holds rock stabilizing weight to the circumference belt of a the traditional domeshaped house, the mangteghapik (q.v.)
tiighqe	to remove outer garment because of getting hot
tiigmeraagh	to wear thin, light clothing
tiig	to peel a layer off of something; to remove outer garment
tiiwhte	to turn and present a narrow profile in place of a broad profile
tinmaawi	to become accustomed to something
tugagh	to use an ice pick;  chip ice with an ice pick
tugaghtugh	to chip repeatedly with an ice pick
tugegh1	to chip with an ice pick; to push on the ice pack breaking it up (of ocean current)
tugegh2	to be too big to fit in
tugeghyagte	to be small and tight (of clothes)
tughneghaam sigutanga	toadstool
tughumgha	to wrestle (with)
tughwaagh	to get nearer
tugmagte	to store away for later use; to kill (him) and bury or conceal the body
tugukligh 	to take in (orphan, guest); to grab onto something to keep from falling
tugulagh	to take continually or repeatedly
tugulaghvike	to take things from (him)
tugulegh	to molest sexually; to grope (sexually)
tugulghaagh	to wrestle; to hug
tugulghute	to fight; handle (him) roughly
tugumiiqe	to hold in the hand or hands; to be fastened to an ice cake (of boat); to take with one
tuguniigh	to handle roughly; to grapple with; to act on in order to kill (of a shaman)
tugu	to take with the hand; to grab; to pick up; to take as a wife
tuguvik2	longitudinal stringer or riser of skin boat to which walrus skin is laced; rail on inside of skin boat below gunwale
